Year,Month,Day_Month,Hour_Day,Week_Day,Day_Year,Power.kW.,Temperature,Wind.speed,Wind.direction,Irradiation.flux
2019,1,1,0,TUE,1,24.1,-1.146920095,6.646520853,221.9861276,4.208434479
2019,1,1,1,TUE,1,37,-0.939543105,6.578195158,216.7318059,4.234007202
2019,1,1,2,TUE,1,40.6,-0.804822332,6.611600448,213.5078778,4.126132966
2019,1,1,3,TUE,1,20.4,-0.59592988,7.580952216,210.3350062,4.037261755
2019,1,1,4,TUE,1,38,-0.096525136,7.534910414,215.4091464,4.933138146
2019,1,1,5,TUE,1,38.9,-0.118164114,7.249062899,214.626077,5.110687192
2019,1,1,6,TUE,1,16.5,0.135449399,7.091448592,216.9002158,4.695702257
2019,1,1,7,TUE,1,40.3,0.394879827,6.951930373,212.8479857,4.397090607
2019,1,1,8,TUE,1,29.3,0.505373582,6.669130267,208.9824888,4.715561347
2019,1,1,9,TUE,1,29.8,0.682755777,6.902378114,209.9167805,8.773756919
2019,1,1,10,TUE,1,28.3,1.01231867,7.057240317,215.1657419,22.71489303
2019,1,1,11,TUE,1,25,1.433214532,7.223435599,217.7033124,28.41572836
2019,1,1,12,TUE,1,26.7,1.809643628,6.88091763,219.4986837,40.00489944
2019,1,1,13,TUE,1,29.7,1.993755639,6.508104215,216.7471328,43.24355638
2019,1,1,14,TUE,1,34.6,2.193730091,6.009550853,219.1124182,15.6604359
2019,1,1,15,TUE,1,26.3,2.316036981,5.169102237,218.7496586,5.743346321
2019,1,1,16,TUE,1,40,2.302174323,4.950263102,222.4633144,2.832720803
2019,1,1,17,TUE,1,24.2,2.357658312,5.075372314,223.5557036,1.898473649
2019,1,1,18,TUE,1,21.1,2.245555594,5.125792298,224.8265535,2.249991649
2019,1,1,19,TUE,1,18.3,2.112011938,5.063482105,226.6592318,2.245713055
2019,1,1,20,TUE,1,42.8,1.975179233,5.419964313,224.4509485,2.239742626
2019,1,1,21,TUE,1,42.3,1.757403483,4.075796227,237.8096153,1.673424923
